cluster.index	canopus_superclass	canopus_class	canopus_subclass	canopus_level5	canopus_most_specific_class
134104	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Peptides
143520	Benzenoids	Phenol ethers	Anisoles	unclassified	Anisoles
93611	Phenylpropanoids and polyketides	Flavonoids	Flavonoid glycosides	unclassified	Flavonoid glycosides
108169	Organic acids and derivatives	Boronic acid derivatives	Boronic acids	unclassified	Boronic acids
239238	Lipids and lipid-like molecules	Steroids and steroid derivatives	unclassified	unclassified	Steroids and steroid derivatives
56454	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Amino acids and derivatives
29022	Organohalogen compounds	Aryl halides	unclassified	unclassified	Aryl halides
13635	Organoheterocyclic compounds	Heteroaromatic compounds	unclassified	unclassified	Heteroaromatic compounds
8977	Phenylpropanoids and polyketides	Flavonoids	Hydroxyflavonoids	7-hydroxyflavonoids	7-hydroxyflavonoids
15281	Lipids and lipid-like molecules	Fatty Acyls	unclassified	unclassified	Fatty Acyls
2191	Lipids and lipid-like molecules	Sphingolipids	Phosphosphingolipids	unclassified	Phosphosphingolipids
166449	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Alpha amino acids and derivatives
155504	Benzenoids	Benzene and substituted derivatives	Benzenesulfonamides	unclassified	Benzenesulfonamides
279830	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Monosaccharides	Pentoses
3337	Lipids and lipid-like molecules	Fatty Acyls	Fatty amides	N-acyl amines	N-acyl amines
138679	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Dipeptides
232248	unclassified	unclassified	unclassified	unclassified	unclassified
7008	Organoheterocyclic compounds	Pyridines and derivatives	unclassified	unclassified	Pyridines and derivatives
124295	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Amino acids and derivatives
197786	Lipids and lipid-like molecules	Prenol lipids	unclassified	unclassified	Prenol lipids
133920	Benzenoids	Benzene and substituted derivatives	Halobenzenes	Fluorobenzenes	Fluorobenzenes
136138	Organic nitrogen compounds	Organonitrogen compounds	Amines	Tertiary amines	Trialkylamines
48240	Benzenoids	Benzene and substituted derivatives	unclassified	unclassified	Benzene and substituted derivatives
39819	Organic acids and derivatives	Boronic acid derivatives	Boronic acids	unclassified	Boronic acids
28614	Organoheterocyclic compounds	Azoles	unclassified	unclassified	Azoles
11928	unclassified	unclassified	unclassified	unclassified	unclassified
3562	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	Secondary alcohols	Secondary alcohols
18528	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Amino acids and derivatives
46095	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Peptides
177006	Lipids and lipid-like molecules	unclassified	unclassified	unclassified	Lipids and lipid-like molecules
21642	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Glycosyl compounds	O-glycosyl compounds
205912	Organoheterocyclic compounds	Azoles	Triazoles	Phenyltriazoles	Phenyl-1,2,4-triazoles
30669	Organic nitrogen compounds	Organonitrogen compounds	Guanidines	unclassified	Guanidines
178477	Benzenoids	Phenol ethers	unclassified	unclassified	Phenol ethers
62638	Organoheterocyclic compounds	Azoles	unclassified	unclassified	Azoles
850	Benzenoids	Benzene and substituted derivatives	Halobenzenes	Chlorobenzenes	Chlorobenzenes
156767	Benzenoids	unclassified	unclassified	unclassified	Benzenoids
34254	Organoheterocyclic compounds	Azoles	unclassified	unclassified	Azoles
143042	Organic nitrogen compounds	Organonitrogen compounds	Amines	Primary amines	Monoalkylamines
5554	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Alpha amino acids
11051	Benzenoids	Benzene and substituted derivatives	Halobenzenes	unclassified	Halobenzenes
251703	Benzenoids	Benzene and substituted derivatives	Halobenzenes	Fluorobenzenes	Fluorobenzenes
28592	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Alpha amino acids and derivatives
13151	Organoheterocyclic compounds	Pyridines and derivatives	unclassified	unclassified	Pyridines and derivatives
319608	Benzenoids	Benzene and substituted derivatives	Benzenesulfonamides	unclassified	Benzenesulfonamides
205318	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	N-acyl-alpha amino acids and derivatives
19330	Organohalogen compounds	Aryl halides	unclassified	unclassified	Aryl halides
189632	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	N-acyl-alpha amino acids and derivatives
80432	Organoheterocyclic compounds	Diazines	unclassified	unclassified	Diazines
38303	Organic nitrogen compounds	Organonitrogen compounds	unclassified	unclassified	Organonitrogen compounds
212712	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Alpha amino acids and derivatives
174205	Nucleosides, nucleotides, and analogues	Pyrimidine nucleotides	Pyrimidine ribonucleotides	unclassified	Pyrimidine ribonucleotides
121084	Organoheterocyclic compounds	Azoles	unclassified	unclassified	Azoles
46112	Benzenoids	Benzene and substituted derivatives	Halobenzenes	Fluorobenzenes	Fluorobenzenes
111548	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Alpha amino acids and derivatives
178582	Organohalogen compounds	Alkyl halides	Alkyl chlorides	unclassified	Alkyl chlorides
154361	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Amino acids
112692	Organoheterocyclic compounds	Azoles	unclassified	unclassified	Azoles
38061	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Carbamate esters
1284	Organohalogen compounds	Aryl halides	Aryl bromides	unclassified	Aryl bromides
4082	Organoheterocyclic compounds	Heteroaromatic compounds	unclassified	unclassified	Heteroaromatic compounds
2426	Benzenoids	Benzene and substituted derivatives	Nitrobenzenes	unclassified	Nitrobenzenes
