cluster.index	canopus_superclass	canopus_class	canopus_subclass	canopus_level5	canopus_most_specific_class
48292	Benzenoids	Phenols	unclassified	unclassified	Phenols
16361	Benzenoids	Benzene and substituted derivatives	unclassified	unclassified	Benzene and substituted derivatives
18177	Phenylpropanoids and polyketides	Flavonoids	Flavonoid glycosides	unclassified	Flavonoid glycosides
19451	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Monosaccharides	Monosaccharides
72267	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Monosaccharides	Hexoses
42171	unclassified	unclassified	unclassified	unclassified	unclassified
25433	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	unclassified	Fatty acids and conjugates
22669	Organic acids and derivatives	Organic sulfonic acids and derivatives	Organosulfonic acids and derivatives	unclassified	Organosulfonic acids and derivatives
101524	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Alpha amino acids and derivatives
109477	Lipids and lipid-like molecules	Fatty Acyls	Fatty acid esters	unclassified	Fatty acid esters
52790	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	Hydroxybenzoic acid derivatives	Hydroxybenzoic acid derivatives
12641	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	Hydroxybenzoic acid derivatives	Hydroxybenzoic acid derivatives
61508	Phenylpropanoids and polyketides	Flavonoids	Hydroxyflavonoids	unclassified	Hydroxyflavonoids
176204	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	N-acyl-alpha amino acids and derivatives
174563	Lipids and lipid-like molecules	Steroids and steroid derivatives	Hydroxysteroids	unclassified	Hydroxysteroids
12099	unclassified	unclassified	unclassified	unclassified	unclassified
25405	Organic acids and derivatives	Boronic acid derivatives	Boronic acids	unclassified	Boronic acids
57997	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Amino acids and derivatives
87811	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Glycosyl compounds	O-glycosyl compounds
1797	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Medium-chain fatty acids	Medium-chain fatty acids
119905	Benzenoids	Benzene and substituted derivatives	unclassified	unclassified	Benzene and substituted derivatives
28194	Lipids and lipid-like molecules	Prenol lipids	Terpene glycosides	unclassified	Terpene glycosides
159299	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids	unclassified	Diterpenoids
6480	Lipids and lipid-like molecules	Fatty Acyls	Lineolic acids and derivatives	unclassified	Lineolic acids and derivatives
29057	Lipids and lipid-like molecules	Prenol lipids	Terpene glycosides	unclassified	Terpene glycosides
216	unclassified	unclassified	unclassified	unclassified	unclassified
120583	Lipids and lipid-like molecules	Fatty Acyls	Fatty acid esters	unclassified	Fatty acid esters
172817	Benzenoids	Phenols	1-hydroxy-2-unsubstituted benzenoids	unclassified	1-hydroxy-2-unsubstituted benzenoids
34779	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids	unclassified	Diterpenoids
35104	Organohalogen compounds	Aryl halides	Aryl chlorides	unclassified	Aryl chlorides
63971	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Amino acids
53171	Benzenoids	Phenols	1-hydroxy-2-unsubstituted benzenoids	unclassified	1-hydroxy-2-unsubstituted benzenoids
109314	Phenylpropanoids and polyketides	Cinnamic acids and derivatives	Hydroxycinnamic acids and derivatives	Coumaric acids and derivatives	Coumaric acids and derivatives
37471	Organosulfur compounds	Thioethers	Aryl thioethers	Alkylarylthioethers	Alkylarylthioethers
21779	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Disaccharides	Disaccharides
35962	Lipids and lipid-like molecules	Fatty Acyls	Fatty amides	N-acyl amines	N-acyl amines
23659	Lipids and lipid-like molecules	Prenol lipids	unclassified	unclassified	Prenol lipids
71435	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	Hydroxybenzoic acid derivatives	Hydroxybenzoic acid derivatives
192251	Organic acids and derivatives	Carboxylic acids and derivatives	Dicarboxylic acids and derivatives	unclassified	Dicarboxylic acids and derivatives
211314	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Alpha amino acids
44592	Lipids and lipid-like molecules	Steroids and steroid derivatives	unclassified	unclassified	Steroids and steroid derivatives
25535	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Monosaccharides	Hexoses
198764	Organic nitrogen compounds	Organonitrogen compounds	Guanidines	unclassified	Guanidines
150401	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	N-acyl-alpha amino acids and derivatives
85089	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	unclassified	Triterpenoids
148160	unclassified	unclassified	unclassified	unclassified	unclassified
164763	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Monosaccharides	Hexoses
68570	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Carbamate esters
34838	Benzenoids	unclassified	unclassified	unclassified	Benzenoids
10360	Lipids and lipid-like molecules	Fatty Acyls	Fatty acid esters	unclassified	Fatty acid esters
9500	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Amino acids
56039	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Glycosyl compounds	O-glycosyl compounds
83132	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	Hydroxybenzoic acid derivatives	Hydroxybenzoic acid derivatives
3623	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Monosaccharides	Hexoses
35358	Benzenoids	Benzene and substituted derivatives	Benzenesulfonyl compounds	unclassified	Benzenesulfonyl compounds
12034	Lipids and lipid-like molecules	Prenol lipids	Terpene glycosides	unclassified	Terpene glycosides
41718	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Medium-chain fatty acids	Medium-chain fatty acids
43628	unclassified	unclassified	unclassified	unclassified	unclassified
20998	Phenylpropanoids and polyketides	Cinnamic acids and derivatives	Hydroxycinnamic acids and derivatives	Coumaric acids and derivatives	Coumaric acids and derivatives
99412	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Amino acids and derivatives
